Model,Weight (pounds),Draw,GigabitEthernet Copper,GigabitEthernet SFP,GigabitEthernet Combo,TenGigabitEthernet Copper,TenGigabitEthernet SFP+,TenGigabitEthernet Combo,TwoGigabitEthernet,OOB,con0,con1,con2,psu0,Stacking
C1200-8T-D,1.19,7.09,8,0,0,0,0,0,0,,,,,dc-terminal,false
C1200-8T-E-2G,3.06,10.65,8,0,2,0,0,0,0,,rj-45,usb-c,,dc-terminal,false
C1200-8P-E-2G,3.37,84.86,8,0,2,0,0,0,0,,rj-45,usb-c,,dc-terminal,false
C1200-8FP-2G,3.37,141.80,8,0,2,0,0,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-16T-2G,3.92,11.00,16,2,0,0,0,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-16P-2G,5.25,141.40,16,2,0,0,0,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-24T-4G,5.80,14.20,24,4,0,0,0,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-24P-4G,7.78,230.80,24,4,0,0,0,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-24FP-4G,10.14,429.90,24,4,0,0,0,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-48T-4G,8.71,38.07,48,4,0,0,0,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-48P-4G,11.97,437.14,48,4,0,0,0,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-24T-4X,6.13,23.00,24,0,0,0,4,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-24P-4X,8.11,236.30,24,0,0,0,4,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-24FP-4X,10.14,450.40,24,0,0,0,4,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-48T-4X,8.71,39.77,48,0,0,0,4,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-48P-4X,11.97,449.48,48,0,0,0,4,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1300-8T-E-2G,3.06,10.65,8,0,2,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-8P-E-2G,3.79,84.86,8,0,2,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-8FP-2G,6.72,141.8,8,0,2,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-16T-2G,4.8,11.2,16,2,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-16P-2G,5.25,151.8,16,2,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-16FP-2G,5.49,275.2,16,2,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-24T-4G,5.8,14.8,24,4,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
